Sentence,Opinion
i'd say it doesn't make much sense to read xorg.conf.,0
"Yep I did a clean install of 7.10,. And it's still slow like",1
This bug shouldn't have priority 'low'.,0
i've just tried it out in feisty and it works!,1
"hmm, i can't repriduce this with gnome-terminal, firefox or evolution.",0
"daniel, i agree with you that it should work the same for the user on all applications, but i'm not sure who is responsible for making this sort of decision.",1
"Xinerama is no longer available at all, not because of a driver issue, but because the whole X.org architecture changed in version 7.2.",0
"Problem still exists exactly as described, workaround does the job though.",1
"Suspend and hibernate do NOT work with the backport module for me either (on D830), but as Julian says, 1.0.15rc1 works perfectly. I will stick to compiling my own module as it seems.",0
"@arand Thanks for all of the data, that helps a lot.",1
sometimes when I reboot X server copiz crashes. I dont think it ever crashes after a full restart.,0
Problem solved. Thank your for your quick response.,1
"Sorry for bringing this up again... I have to write down things that need to be done... I forgot to remove the ""draft"" status from ""sect1""...",0
Verified. This fix works for me as well using gutsy-alternate-i386.iso Tribe 2 release for installation in (k)qemu.,1
"hi davur, i think the white-screen issue is a different bug.",0
"Me too same problem - I'm running Linux Mint OS, and Evolution mail.",1
"No need to keep flooding the maintainers with comments, this bug has been confirmed and will be fixed soon as stated",0
Mark - thanks for the suggestion. This patch solves the above patch's problems.,1
"Sorry about spamming this bug, but I can't even turn off suspend/hibernate/shutdown from the battery preferences",0
i can confirm that ulfzart's solution (editing /etc/usplash.conf and doing update-initramfs) fixes it for me.,1
"not available, unsubscribing u-u-s.",0
"In the interest of having this out quicker, I'd like to highlight that JDT is very easy to install using P2 (Eclipse's new package manager.) So I think the only component that needs to be included in the .deb is the platform, and the nice .xpm icon.",1
"Bart, I could not find libqopensync0 at http://packages.ubuntu.com/ (in any previous Ubuntu release).",0
"Appears to be working with hardy final, yes.",1
"The kernel does detect the insertion, but no device is associated with it, the card is not mounted.",0
"roland, your suggestion solved the problem for me!",1
i can't get dmraid_0.9.9-1.0.0.rc13-0ubuntu1_i386.deb to function correctly.,0
"Although this solution is good for Gutsy, I think that for Hardy it'd be better to update the libfaad2 and libmp4v2 packages.",1
"This is not a feature request, this is a bug! The computer behaves in a totally unexpected way, and a way that is not very useful.",0
"After upgrade from Ubuntu 8.04 to 8.10 I encountered the same problem - slow disk access, it takes long for applications to start.",1
No as it was before on a clean install too. But it is gone for me.,0
The Inspiron 1420 is not affected. Sound is fine on mine (has been ok for a while).,1
when pressing ok again after some time passed by a conflict warning is shown. the conflict cannot be resolved by deciding for either (or both) dates,0
It fixed the problem for me too.,1
This bug affects my Lenovo x60 Tablet. Brightness does not work as to the scale either.,0
"After some digging, somehow this solves the problem",1
"It's not available for Hardy (or anything prior to Intrepid, rather) at this time.",0
"I can confirm the advice from Roger, thanks a lot!",1
This bug is still missing a complete dmesg and the output of lspci -vvnn,0
"I agree with Krzysztof Kosiski, this is not something that would make Ubuntu better, but a bug.",1
"of surprising, sounds unpolished Well, the name of this package is not open for discussion here. This is about package description.",0
"Same problem on Gutsy and it's Jan 9th, 2008",1
Not sure that it should matter whether you use persistent mode or not though.,0
"Thanks for the dmesg output, I will fix that ASAP.",1
I'm sometimes told my Latitude D830 has no battery in it which is clearly bogus. Never seen this with Feisty.,0
i have exactly the same problem on my msi vr610 new laptop with: ati technologies inc sb600 non-raid-5 sata 100% same situation as it was descripted above!,1
"you shouldn t have to use the decorating classes directly, just how they use treewalk s and dircacheentry s getrawmode to get the different statuses.",0
i agree with davegod75.,1
This is still happening for me too in (Kubuntu) Gutsy RC. Quite annoying.,0
"Hi Justin, I think that's a bit too simple. My annoyance is that when the setting is set to idle, it doesn't go back to *where it was,* but to some default value",1
perhaps your package mirror hasn't been synced yet and you run an older version of update-manager.,0
"Well, a broken package is very stable... :) Yes, in this case, the system is what is broken.",1
"i can reproduce your issue, however it's not the same as the one described in this bug report.",0
"it looks good, and i verified that it works for internal and external jars, and that it doesn t break bug 297039",1
I really hate sidebars and would want to be able to disable them in place of these windows before I would migrate to Firefox.,0
"Thanks, Adrien. I assumed I could do that",1
I don't think this bug is SATA related.,0
i agree with mads's comment in regards to importance.,1
"This fixes the problem, but isn't quite correct...",0
i agree with ?skar in that this should have a higher priority - it's a real showstopper for some of us!,1
"#25 marius, your bug is not related with this one.",0
I agree that this bug makes ubuntu look pretty bad for anyone who wants to type multiple languages.,1
"you can enable it, but you won't get starting sound at all.",0
"As John Little also wrote, my Amarok's setting is pointing to /dev/cdrom. I've got the same error both when starting from the KDE autoplay daemon or directly from Amarok.",1
"I don't use evolution and so don't see the relation. Still, update notifier dies several times a day of its own volition. I've killed all of the evolution processes just in case. Will keep an eye on it.",0
"Conn: Yes, EXA is just becoming really usable and I doubt there will be backports for gutsy since it might break other setups. So I'm marking this as fixed in Hardy.",1
rhythmbox shouldn't display shares it doesn't support.,0
I see the exact same problem on my Thinkpad T41p with ATI Mobility Fire GL T2.,1
$ sudo pppoeconf this option is not available.,0
"Hi, I've already got all this ready to upload...",1
that doesn't seem to make a difference.,0
That solved my problem.,1
this workaround does not work for me as i dont have the following file on my system: /etc/xdg/menus/debian-menu.menu on my system.,0
"@martin I do believe it is a showstopper, as it also breaks Adobe's flash plugin inside konqueror/nspluginviewer.",1
"Sorry guys, lack of due diligence on this one (and it being past my bedtime). The single change was to avoid having to file an exception for a newer version",0
"Yes, agreed the pref is not ideal for this purpose.",1
I mean it's not here,0
"Here's the same for wxwidgets2.8. This issue should be fixed next release 2.8.5.0, but in the mean time this should probably be applied for applications that use newer wxw.",1
"this bug is not fixed, it should be reopened, and is in serious discussion upstream.",0
"Same for me, and this one is a fresh install.",1
"There's no way to probe most CD drives without generating interrupts, so there's nothing hal can do about this.",0
john's proposal in comment #2 is also acceptable.,1
"Disabling acpi did nothing. Still always on AC, according to this. Gutsy release out, no fix, not impressed.",0
I got the same issue.,1
"sadly, turning of acpi & hpet did not work.",0
the fix looks ok to me but i can t guarantee that there are no unwanted side effects,1
"Oh, and drag-and-drop never works for me.",0
i'm also running ubuntu 8.10 (intrepid ibex) on a hp pavilion dv5 (dv5-1075er) and seems i have exactly the same problem that guilhem lavaux does.,1
"it's odd, but the patch file itself doesn't have any indication inside it as to which projects the patch changes apply. this seems like an egit bug to me",0
"If sound stops working after suspend-to-ram or suspend-to-disk, try the workaround specified at . This works on Gutsy. Only thing about it is that upon resuming, you may get a pop-up window about Volume Control quitting unexpectedly, just click Reload and you're fine.",1
dincer but this is not what we want.,0
"I experienced this too, but in my case all the Evolution parts crashed and I also lost all my todos.",1
"unfortunately we can't fix it, because your description didn't include enough information.",0
i have the same problem in dapper drake (ubuntu 6.06).,1
i tried both use bash 3.1 and replace %q strings with %b and none of the workarounds solved the problem.,0
The issue also occurs with kernel 2.6.24.3 of today.,1
I installed Tribe 4 today. Still the same: the ACX files are there but the wireless does not show up in the network configurator.,0
same problem for me also...,1
it still doesn't work. i can't even get keycode using xev.,0
"Fixes things here, thanks a ton!",1
"This of course, won't work as lrm-video is part of the restricted modules package.",0
"right. while i was looking at the code, i became confused as well. i agree that we have to take a good look at it.",1
"Ted Gould, I tried out your package, and when I move the brightness slider in gnome-power-preferences, nothing happens. It seems like this is the problem",0
"I saw your post on the ubuntu forums, I installed SPE 0.8.2.a as per your instructions, and it looks like it works for me.",1
I've installed 2.9.0-1ubuntu3 from Martin-éric's PPA and I'm still having the same problem. Blinking cursor instead of X. I can't get into a terminal in the thin client to see any error messages either.,0
"Martin - oops. What I meant was that the package in -proposed is the correct one, e.g., it fixes the resolution issues.",1
I have a Microsoft Wireless 5000 mouse and this issue makes it nearly impossible to use the wheel fro scrolling.,0
"I agree, thanks again for your work on this Martin.",1
"Sergey, that looks like a different problem",0
"Daedalus, Yes, your testing and observations match with mine.",1
I don't really understand this bug report,0
"Hi, same thing here. Let me summarize the problem and workarounds",1
"We are not going to fix unix zoneinfo databases, which currently return ('EST', 'EST') for eastern Australia, thus making time.",0
were having the same problem on boot,1
"however, it doesn't seem terribly hardware accelerated.",0
I just want to add that I've got the exact same problem as Alan Pope.,1
"dotty, this cannot be fixed with python code.",0
i totally agree with unggnu that priority of this bug should be higher.,1
"unfortunately we can't fix it, because your description does not yet have enough information.",0
"Tank you, Thank you & thrice Thank you! You have fixed it & I can now use my Micro$oft trackball in Firefox as I want it to work",1
this bug is still not fixed.,0
performace is fine for me.,1
"Martin, I see your point when you're saying that the \""common standard\"" should be as good as possible, however I would rather not to filter any lines from a patch when parsing.",0
"I have switched to KDE from Gnome because Gnome was taking too long to start up, and this did fix the problem for me. So I think it is a problem related to Gnome.",1
"Sorry, the penultimate paragraph above is probably wrong, since auth.log would normally exist at boot time, with mode 640.",0
Leann correctly marked my bug (141339) as a duplicate of this one.,1
"Just a quick update: @Andres, it is not the same, just similar.",0
It would be great if you could test with the LiveCD for this new release and let us know your results.,1
I don't think there's a single fix which will fix both cases.,0
everything else seems to work ok.,1
There is no way to see the final line or two in the lyrics applet.,0
This bug is triggered for me too if I disable gnome-power-manager in my session. I have reproduced it with both Gutsy and alpha 5 of Hardy.,1
"I cannot reproduce it on fresh install on the other box, so it has to be some upgrade problem.",0
"I'm using the T61 with Debian Etch, Kernel 2.6.18-5-686 and I have the exact same problem.",1
"not really. in the absence of a fix for 493276, content should reside on some other moco server.",0
"> Andy Whitcroft Yes, I have a Dimension 9200. Running Intrepid w/ all updates & have the latest BIOS Version: 2.5.3. I can shutdown, but not restart.",1
"Still not a duplicate of #140668 (see above). Please stop sending me irrelevant emails, and please keep separate issues separate so they can be fixed.",0
I have same problem with a Dell Latitude D610 ( Multimedia audio controller: Intel Corporation 82801FB/FBM/FR/FW/FRW (ICH6 Family) AC'97 Audio Controller),1
"sorry - libglib, not libg.",0
Hi there!! I was facing the same problem of you guys.,1
from what i know apt/synaptic/aptitude don't give an easy way to automatically downgrade something,0
I agree that the message in the properties form is a pain.,1
"tried that but with the patch applied, basket does not show up in the list of components even for a new user.",0
Experienced this problem while using Pidgin today.,1
"i couldn't see an amd64 version to download, or maybe i'm misinterpreting the versioning.",0
"Sponsored and accepted into gutsy-proposed, please test. Bryce, this has been stalled for a long time.",1
Not working as expected under 2.6.22-14-generic,0
Tested lupin-support_0.16+locale113_all.deb. It works fine,1
"I have the same problem with 2.6.22-11 on a D830. Under the latest version of 2.6.22-10 I could get everything to work if in installed the kernel version of the snd-hda-intel module instead of the one from the linux-ubuntu-module package. However, in 2.6.22-11 the kernel version does not exist and so I can not get any sound to work in 2.6.22-11.",0
"Mandriva One 2008 makes it work out of the box (at least in my case, see my previous post).",1
The title position isn't correct also. It's much above the bar.,0
"Confirmed as well. I use Hardy Final now, had the Problem from the start because I upgraded from Gutsy and had the gnome-power-manager disabled before already.",1
it still does not work for me on an updated kubuntu edgy.,0
"Yes, agreed the pref is not ideal for this purpose.",1
2.6.30 doesn't work for me.,0
The proposed workaround solved the issue for me !,1
"I can only assume that WebKit will be moving to main, otherwise, Ephy won't build now.",0
"I also have the no sound issue with my Lenovo 3000 n100, 0768-a52.",1
"my windows partitions don't get desktop icons, and the desktop theme looks rather old-fashioned.",0
i assume your workarounds are still viable,1
"I've repartitioned/reformatted the card on feisty, where it continues to work ok, but on gutsy I still have I/O-errors on dmesg..",0
PS. The Patch from Matthijs works for me.,1
"muzuiget's patch is similar to the previous patch in mechanism, this will not work all the time.",0
"I get the same error (I guess) as Tim, using your package:",1
"leonardo, your bug has nothing to do with this one.",0
"for me yes, and since it ' s limited scope i would probably not even add a toolbar button but simply add it to the view menu.",1
I still have that crash in /var/crash. I'm reluctant to upload it though as it most likely has secrets,0
everything else seems to work ok.,1
"Please do not re-file bugs. If the metacity devs wont fix it , the papercuts team cannot do it either,",0
"Yes, I think it is similar bug.",1
"no, it doesn't work, it only works on reboot, but not on a new start...",0
"I got the update this morning and can confirm it fixes the problem, which I had reproduced just before.",1
"I should note that I have root on lvm also, but I don't have any further problems. I don't have any other filesystems mounted automatically, though",0
"elyk: Yes, it broke it for me. I'm on a Dell Latitude D630. Annoying. :P",1
I've tested the package on Hardy Heron on my Vaio VGN-FZ11e and it doesn't work,0
Me too! Although: I did also delete the .update-manager* dirs from my home folder. At least it works!,1
"also, in this version i was never able to see an appointment (as red box, was possible previously).",0
"I'd like to confirm this issue on my system that my printer on Gutsy won't work even with the latest update. Also, I'd like to confirm Sa?vann Carignan's workaround which got my printers working again.",1
"shaun, you have an intel so this bug is not really for you.",0
"Joshua, We are still working on some infrastructure changes for accommodating signing-keys for all PPAs. It should happen next week.",1
So only for me it is not fixed!,0
Actually I solved problem. My loopback network interface was misconfigured.,1
My rt73 chipset shows no noticeable improvement using the test v4.,0
I also have the same problem.,1
"It looks like you are also counting empty lines, which doesn't seem overly useful to me.",0
i tested the patch and it works as expected,1
"Source package changed to -2.6.24, this probem repeats in Hardy again (and in -2.6.22 also wasn't fixed).",0
"Ok, done this sudo apt-get install build-essential and then the c compilation worked and then the audio works perfectly! Fantastic!",1
"The recipe give by Daniel Moyne of just touching the file to the epoch does not work for me, neither does the one from ysth. mvo's patch does fix it.",0
I also have the same problem.,1
It is no longer possible to do so since the whole window doesn't fit.,0
"Hi Theodore, Yes, even after a reimage the issue still happens.",1
"Also, I do not see the relevance of the debbug 385181 to my original problem.",0
i think this would always be a good option.,1
"This setting made no change in my case, until I turned splash screen on and it worked. Turning the splash screen off again disabled the sound.",0
"On my machine, it won't resume from suspend to RAM with rc2 but rc1.",1
"but, i don't think that this is a fix.",0
we are now using this feature in gimp trunk. seems to work nicely with intltool 0.40.0. thanks again for this change,1
"Even after trying out Tim Gardners resume script or Ben Collins', the sound doesn't come up after resuming.",0
"again, i think it ' s a brilliant idea martin",1
Sebastien - I looked through your attachment and did not find any sensitive,0
"For a laugh and a half, I decided to delete everything in Rhythmbox and rescan the music folder AND I can reproduce the problem again.",1
there should be no use to rewrite such a daemon.,0
"as albert confirmed, when visual effects are set to none, the panel is normal.",1
"it also shouldn ' t warn about nvidia ' s quicktime plugin, which isn ' t really quicktime (it ' s actually just a shim to launch the media in an external player)",0
"I've figured out, that removing package wireless-tools in Ubuntu Server Gutsy (x86_64) helps.",1
"Sorry, I could not reproduce this on Tiger either.",0
"Rohan, thanks for testing and the update. I'm glad to hear things are working for you with the Hardy Alpha release. I'm going to go ahead and close this report for now. Chris and fishor, if you guys are still having issues with the latest Hardy kernel care to open a new bug report? Thanks!",1
"it boots, but after it switches to ncurses, i don't have any text displayed.",0
"Thanks Adrien. wxGlade is one of the wxwidgets2.8 applications which has a similar bug. Its UI freezes instead of crashing, but backtrace output to terminal is similar.",1
problems related to usage of large i/o buffers) are not present.,0
i agree with @artem baguinski.,1
I have a problem similar to chronographer. Interface wlan0 disappears when I install firestarter and reboot.,0
"The same here. I can connect using ""iwconfig mode ad-hoc"", but wicd can't.",1
"however, this problem has not been reported so far, although bug 297039 has been in since 3.5.2",0
Same here 2.6.22-14-server DISTRIB_ID=Ubuntu DISTRIB_RELEASE=7.10,1
The desktop icon is the official one and it is different from the icon inside thunderbird,0
"Same here with a Lenovo 3000 N100 (0768-6EU). And I confirm what lusepuster said, it works with kernel, 2.6.20-15.",1
nvidia themselves aren't much help; i need to follow up with them.,0
"i have also confirmed now, that it occurs with either the gnome or kde desktop.",1
"Albert, you completely misunderstood this.",0
I can confirm that the fix is good i'm using it now without any problems (that i know of anyway ;P),1
sorry : i entirely disagree with your diagnosis,0
I am confirming this bug since another user reported the same problem,1
it didnt do any good.,0
"Let me first say, I am really impressed with gideon. It shows a lot of potential! I am really looking forward to the stable releases.",1
I cannot think why the behavior might depend on what is running on the terminal.,0
"thanks, it works for me as well...",1
this doesn't sound like it is the same problem that i'm seeing.,0
maybe you're right and we should move this to a different bug and start from scratch.,1
so it seems not related to the drive ( Asus Quietrack) I was not able to produce a backtrace. Kde bugtrace crashed too. Best regards David,0
"comment on attachment 555658 thunderbird patch v1 this looks fine, although there may be some ambiguity between whether we are just indexing messages really slowly or are working some other type of jobs",1
"i thought that with the ubuntu 8,10 the problem came resolved, instead not.",0
As reported by me and Jayhawk this bug has been fixed in the 8.04 release. So I think we could close this report.,1
de oliveira: you are seeing a different bug than this one.,0
"I'm trying to package 2.20.2, which requires me to run autoreconf to update 99_autoreconf.patch. Any advice would be much appreciated.",1
not everything is ok as i expected.,0
I agree that Albert's idea makes sense.,1
this isn't an issue with networkmanager.,0
"With the newer 2.6.24-1-generic kernel the problem has not changed. Thanks for looking into this, Thomas.",1
"Restored the original bug title, since 'experiences' isn't a good name for something that needs to be fixed.",0
We've put some fixes in and they've not worked as well as we'd like so there's still some work to do.,1
"Adding fbcon to initramfs modules had fixed it a while back, but this no longer is the case. I no longer have any fb console and, even worse, gdm also repeatedly fails to start.",0
"meanwhile, i looked at david's patch and it looks sane, safe and clean.",1
Oh! I am sorry! I was wrong. it is not available in intrepid!,0
i agree with slogger that this might be related with bug #22985.,1
i do not have a bios option to set the video memory on my dell latitude d505.,0
"Also, irqpoll is at best a workaround to help tracking things",1
"Disregard that last comment, it should have been rootflags=locale=da_DK.utf8 BUT it still doesn't help.",0
"Well actually, I still have the exact same problem",1
"Hi Chris, ok, what i see is that network manager uses wpa_supplicant to setup network, but never receives any association event back.",0
i completely agree with mat.,1
I did specifically say above that it's not a substitute for archive signing. It won't silence apt and it won't protect against all attacks.,0
the fix looks ok to me but i can t guarantee that there are no unwanted side effects,1
"2.2.8, still doesn't have this needed feature... Frustration also confirmed.",0
I am getting the same error on xubuntu release candidate with all updates,1
forgot to add: this is on a Dell D830 and as expected this bug still exists in Gutsy final I upgraded to today,0
I use clearlooks theme and open office will work.,1
"I never managed to figure out why my patch to libgksu worked, and what was causing libgksu to lose stderr.",0
I have the same problem. No xchat icon. Clean 7.10 install. I'll let you know if it will change atfter a reboot.,1
This is NOT a bug.,0
"I have the same problem, since some month.",1
i already tried that in the past and it made no difference.,0
"Thanks Alex, built and tested your tree, and it now works (associates correctly) with Network manager on an open network.",1
"I try to enable the start splash screen and it kills the playing of question.wav file on login screen . It is a very annoying and weird bug. Anyway, shutdown sound is not played too.",0
"New debdiff, many, many thanks to pochu on #ubuntu-bugsquad @freenode for helping talk me through this...",1
the hosts removal of ipv6 lines solution does not work for me and several other people,0
Thanks for clearing that up! I'll be waiting to test things re: this bug when they become available.,1
"@martin pitt re: hal 0.5.10+git20080301-1ubuntu2 it is not working on my lenovo t61p 14"" with an nvidia 128mb card nor is it working my lenovo z60m.",0
I am also able to confirm this on a Thinkpad T61 with the latest kernel and updates on Gutsy.,1
"I don't think it was ever a good idea to install plugins disabled by default, but it's also not a good idea to do something that will break in some situations.",0
I can confirm this. I have a nvidia card.,1
Unfortunately it doesn't resolve problem of logout sound. Splash screen absence remains the same.,0
"Emmet, pbuilder had no problems compiling wxwidgets2.8 with attached debdiff.",1
Your system lockup is caused by the 100.14.11 driver. It's horribly broken.,0
i do confirm this issue on acer travelmate 3210 partially solved stopping networking service.,1
sorry i wasn't completely correct in my previous comment.,0
you're right ... this bug depends of 362539 and not a dupe,1
i did not take it as such.,0
"I tried it last week and it worked ok forme - wow, thanks!",1
I don't think the D800 has even remotely the same sound hardware as the newest Dells.,0
"libapt-front fixed, this will fix itself in the next day or so.",1
"it appears that 2.6.23.1 includes an earlier version of the same patch, however this did not work for me.",0
"i ran through my scenario and it seems to working ok, i am certainly concern about the risk of regression as per comment# 6",1
"sorry, that does not help for fsam7440, I just noticed it",0
I agree with others that you should be able to change it in the Mouse settings.,1
I have no idea why this is.,0
"Yes, your first example works as expected.",1
"hi craig, unfortunately there is no visible change in the behavior of the vpn configuration wizard with the new package.",0
"I'm pretty happy with openSuSE 10.3 and Mandriva 2008.0, and tonight I will make up my mind on which shall remain in this laptop as I need the rest of the space to try another distro.",1
It seems my problem is different from Geoff's because mine is fixed by 2.6.23 and his is not.,0
"Ok the problem is resolv whith the ""sudo dpkg --configure -a"" Thanks for you help and i promise to whrite only in english for next time in this site.",1
@jaakan: i don't think a reinstall would help.,0
"i've seen variants of this problem on other machines, and afaik it's been reported on amd64 too.",1
"hello, you wouldn't see any problem - you have a crt.",0
I agree with others that you should be able to change it in the Mouse settings.,1
You don't have to nominate it for the current development version.,0
Same Problem here with a up to date Ubuntu Gutsy (Sept. 3rd 2007).,1
"After few tests, nm crashes only when network is protected. On an open network, still the same, unable to connect.",0
"Ted: Okay, thanks for the clarification!",1
"i always have had this problem. and i had to set it up manually, because it never worked out of the box.",0
"I had the same problem, i have ubuntu karmic amd64.",1
"(Gutsy up to date, ~triibe-3) I had switched to a console, and then back to X. The screen was not properly refreshed and seemed to hang.",0
"cool, thanks.",1
"hm, i can not reproduce this.",0
"I confirm, that this problem is fixed on my Dell Latitude D830 with Tribe-5 amd64 Thanks Martin",1
which makes the whole mechanism overblown and not as intuitive as I would like it to be.,0
Thanks for this additional information.,1
"Hi Ketil, thanks for the files but they don't actually contain any useful information for debugging the problem.",0
I'm trying hardy heron beta1 and I have this same problem.,1
"I don't follow how gnome-mount is responsible for the crashes, as I wasn't changing the devices attached to my machine.",0
dAniel hAhler's workaround fixed the problem,1
i tested it some more last night( pci=routeirq) and the mouse does freeze after a certain amount of time so this isn't really a solution.,0
"Thanks KhaaL. Juan Flynn suggested that I check the temperature to make sure no throttling is taking place. I'll give that a shot tonight. So far, the possibilities are some driver issue or some sort of hardware throttling issue. I ran hdparm -i /dev/sda on my work machine (which does not have this issue). I'll post the results from my laptop next.",1
it still shows incorrectly in rhythmbox.,0
"I have the same problem, since some month.",1
I tried to reproduce this issue but without success so far.,0
So I agree - in general we should only eject those devices which NEED ejection - ipods and the like - but those which can be happily unmounted - usb flash and hard drives to name a few - should NOT require eject...,1
"honestly, i don't believe we can fix it in feisty.",0
"I have a Dell Vostro 1500 which is in the same situation as most of the laptops here. Sound worked with Tribe 5 but 'apt-get dist-upgrade' broke it. I haven't finished downloading Beta yet. I have followed the instructions here for building alsa-driver-1.0.15rc3 using ""configure --with-cards=hda-intel,emu10k1"" and sound now works fine for me. I, like everyone else, would like this fixed before release.",1
this problem doesn't affect the default configuration.,0
No problem building wxwidgets2.8 with the patch in a pbuilder. I'm doing some testing currently and will probably upload it.,1
i dont think we should differ from gdm behavior here ...,0
"A possible better workaround is to use ""noapic"".",1
"I have tried that, but for me it does not seem to work.",0
hi everyone! i got the same problem here with my laptop.,1
i don't think the patch is correct.,0
I have same problem with stable Ubuntu 8.04 and Nikon D40.,1
ubuntu-minimal doesn't include python-* however.,0
"Hi, I kind of tested the 'Browse Device' feature, and it kind of works",1
still experienced the same issue unfortunately.... Josh,0
"Arthur, for me and other users apears its working well .",1
"No no, I mean it stays greyed out even AFTER it starts responding again.",0
It is working fine here without having to compile packages. 2.6.22-14 x86_64 Intel Corporation 82801H HD Audio Controller,1
"I have the evolution crash file that seems to be implicated here, but running root@hope# apport-cli -c _usr_bin_evolution.1000.crash does not reproduce the crash.",0
"Hi: I had the same problem with a HP 710c over LPT1, with sudo aa-complain cupsd it works again.",1
But this can't be adopted by JFace because they don't depend on the text editor plug-ins.,0
"Sven is right, I meant that it would be usefull to have the swap option after the creation of the rectangle selection.",1
"Unfortunately, one of the entries in the quirk table (i830_quirks.c) is incorrect",0
"I experienced this too, but in my case all the Evolution parts crashed and I also lost all my todos.",1
purging all scim packges does not fix the problem for me...,0
Now it's working,1
confirming that skencil just doesn't work as installed.,0
"I can confirm this! When I tried to switch from one to another I saw much faster throughput for a short period, then it would die off.",1
bug #124406 is more accurately describes the issue. This one is not correct. It is not the firefox or mozilla bug.,0
"The updated patch worked great - no more sigsegv's Thanks, Martin!",1
"Hi, I seem to have the same problem with Nikon D40x camera, but unlike D40 there doesn't seem to be any firmware fixes.",0
"Yes there is that bug, and follow last message by",1
I don't know how to do URL links. HTML doesn't seem to work,0
I confirm that jasbur's fix works for me.,1
this is not your bug.,0
I get the same Error - my Eclipse is crashing about 10 Times per Day.,1
"first, i am not convinced that the autoconf changes are necessary.",0
"I'm seeing this with keyboard shortcuts on Gutsy and Hardy as well. I worked around it for now by moving the keybindings from the ""special"" volume up",1
the sound still doesn't work.,0
I have got the same problem with my iPod 5.5G and Banshee from the standard repos.,1
"sorry it s not aboy xinerama 2007/9/13,",0
I'm also suffering from the same issue (slow hd i/o). I also run the SQLLite-tests.,1
Apparently Rhtythmbox in Hardy doesn't save information to it's TAG. This is annoying.,0
"The status ""Fix Released"" is correct, as it works in Hardy (or at least is what I've understood from the latest comments).",1
"I downloaded the latest beta of Hardy this morning and tried that, and unfortunately, sound does not work with that version either.",0
"i can now confirm that the patch from upstream solved the issue on jaunty, and that it's the only change required.",1
It clearly doesn't follow guidelines. At least not when it comes to respecting languages and culture.,0
The new linux-backports-modules package seems to solve the problem here on a Dell Latitude D830.,1
Bug 145360 and bug 191365 are duplicates of this. They each have 169 and 19 duplicates respectively. I don't seem to be able to mark them as duplicates without manually modifying all their own duplicates first.,0
"As eluded to, this appears to be a regression. Busybox mount -o bind works fine in Feisty.",1
"hi mlucius, the crash caused by dbus is not related to the original bug reported here.",0
"I think that this \""common standard\"" should be as good as possible by default.",1
"obviously not, but that ' s why i asked for review",0
"i agree the breadcrumbs-as-links meme is hampered by not being obvious, so maybe we should file a bug about that.",1
The command below corrupted my gconf and theme export,0
"I agree this is a problem, especially with a laptop mousepad, I'm going to try to find as a theme with thicker left, right and bottom edges in the meantime :-(",1
Downloaded Tribe 3 today. Updated Feisty with the alternate i386 cd. I still have the same problem: no wireless shows up at the network tool.,0
EricPadman's work around has also worked for me.,1
there is something wrong with this patch.,0
"It seems to be fixed, The package seems to have been updated as I now have 0.11.5 On Wed",1
"So, it looks like this isn't going to be fixed for Gutsy, huh. That's really discouraging. I have no sound on a Dell Inspiron 1300. Compiling the new Alsa stuff didn't do any good",0
"I agree, it is odd that none of the main ubuntu blog sites have picked up on this",1
@ aaargh486 - i tried your suggestion but the problem is still there.,0
"However, I agree that apport should just ignore these.",1
this is pretty annoying. the devs seem not really to care...,0
I'm confirming that this bug is currently fixed in hardy.,1
This is still broken in Jaunty.,0
"I've the same problem with my LG E500-U.AP49B, but the battery issue appears only when the battery charge level is ""low"", i.e. there's < 20 min remaining.",1
"I can confirm, any vga= settings in the boot params in menu.1st will black screen the consoles. The above fix didn't work uname -r 2.6.22-14-generic lspci 00:00.0 Host bridge:",0
Tested it in Russian. Looks better then in used to be.,1
no result. I didn't see any other output in lsmod that looked like a graphics driver.,0
"fwiw, in my PPA I have packages for Eclipse and a bunch of plugins that I built using the release binaries from Eclipse.org",1
"hi, I am not sure if what I have is related to this topic.",0
I have successfully worked around this problem by adding irqpoll to my kernel parameters,1
"there are a lot of useless forum posts about it, but no solution that i have found.",0
As a workaround I found that synaptic works.,1
"I tried to test my system with external monitor, but unfortunately I cannot switch off the internal display and xresprobe still reported lvds/lcd.",0
I have had the same problem as vonHalenbach.,1
i don't think that it does really matter if it's package foo or bar here..,0
"i'm with sergey on this, that is a feature we should have.",1
"however, i am using gnome and etienne solution wont work for me.",0
I've been getting this error as well.,1
"@ amnon82 uploading binaries here is usually a bad idea, it may result more broken systems than before.",0
i agree with arun that lowering the color depth to 16 is an unacceptable solution.,1
I most definitely do not see any WebKit package listed in Gutsy's repositories at the moment.,0
"Sebr - sounds good. I can commit it myself, hopefully, because I should have svn commit access soon enough.",1
"Samir, the disadvantage to removing the dosfstools package is that operations on FAT16/32 file systems will no longer be supported.",0
"this patch is quite nice because it makes the markup more consistent and it allows someone to set the toolbar mode, possibly attach a palette, and so on..",1
"No, as I said I am using a thinkpad X60s. Although g-p-m's log has lots of ""emitting button-pressed : brightness-up"" messages, I did not touch my computer to get it into this state.",0
After install from the packages: the mp3 preview works.,1
"I can't speak to others, but to reproduce my problem, I can guess it would be very easy",0
"happens also here (Jauny, kubuntu 9.04)",1
"I haven't had this in a while - i had it once a month or so ago, but not beyond that.",0
